Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Ek Chhotisi Love Story,2002.0,122.0,Drama,2.9,554.0,Shashilal K. Nair,Saroj Bhargava,Manisha Koirala,Jesse Randhawa
Ek Chitthi Pyar Bhari,1985.0,139.0,Drama,6.6,14.0,Vijay Sadanah,Raj Babbar,Reena Roy,Agha
Ek Daku Saher Mein,1985.0,133.0,Action,3.8,5.0,Kalidas,Ashok Kumar,Pradeep Kumar,Suresh Oberoi
Ek Dil Sau Afsane,1963.0,146.0,"Comedy, Drama, Romance",6.4,52.0,R.C. Talwar,Raj Kapoor,Waheeda Rehman,Lalita Pawar
Ek Din 24 Ghante,2003.0,95.0,Thriller,3.9,78.0,Anant Balani,Rahul Bose,Ahmed Chaudhary,Nandita Das
Ek Din Achanak,1989.0,105.0,Drama,7.1,257.0,Mrinal Sen,Shabana Azmi,Shreeram Lagoo,Aparna Sen
Ek Gaon Ki Kahani,1957.0,137.0,Drama,6.4,14.0,Dulal Guha,Talat Mahmood,Mala Sinha,I.S. Johar
Ek Ghar,1991.0,100.0,Drama,7.2,78.0,Girish Kasaravalli,Naseeruddin Shah,Deepti Naval,Chanda
Ek Haseena Thi Ek Deewana Tha,2017.0,105.0,Drama,2.5,104.0,Suneel Darshan,Shiv Darshan,Natasha Fernandez,Upen Patel
Ek Hasina Do Diwane,1972.0,140.0,"Comedy, Drama, Romance",5.4,18.0,S.M. Abbas,Jeetendra,Babita Kapoor,Johnny Walker
Ek Hi Bhool,1981.0,144.0,"Drama, Family, Romance",5.8,136.0,Rama Rao Tatineni,Jeetendra,Rekha,Nazneen
Ek Hi Raasta,1993.0,130.0,Action,3.4,186.0,Deepak Bahry,Ajay Devgn,Raveena Tandon,Saeed Jaffrey
Ek Hota Vidushak,1992.0,145.0,"Comedy, Drama",7.0,106.0,Jabbar Patel,Mohan Agashe,Satish Alekar,Laxmikant Berde
Ek Jaan Hain Hum,1983.0,151.0,"Family, Romance",6.5,51.0,Rajiv Mehra,Rakesh Bedi,Avtar Gill,Gulshan Grover
Ek Kali Muskai,1968.0,120.0,"Drama, Family, Romance",6.3,10.0,Vasant Joglekar,Ashok Kumar,Joy Mukherjee,Meera
Ek Khiladi Ek Haseena,2005.0,143.0,"Comedy, Crime, Thriller",5.7,595.0,Suparn Varma,Fardeen Khan,Koena Mitra,Kay Kay Menon
Ek Krantiveer: Vasudev Balwant Phadke,2007.0,126.0,"Action, History",6.5,43.0,Gajendra Ahire,Amitabh Bachchan,Ajinkya Deo,Ramesh Deo
Ek Main Aur Ek Tu,1986.0,138.0,Romance,6.9,17.0,Ravi Tandon,Shashi Kapoor,Rubina,Tanuja
Ek Nanhi Munni Ladki Thi,1970.0,136.0,Drama,6.1,10.0,Vishram Bedekar,Mumtaz,Bobby,Laxmi Chhaya
Ek Number Ka Chor,1990.0,180.0,"Action, Crime, Drama",4.0,7.0,Tajdar Amrohi,Aatish Devgan,Mashhoor Amrohi,Mazhar Khan
Ek Paheli,1971.0,131.0,"Drama, Horror, Mystery",6.8,63.0,Naresh Kumar,Feroz Khan,Tanuja,Sanjeev Kumar
Ek Pal,1986.0,135.0,Drama,6.9,43.0,Kalpana Lajmi,Shabana Azmi,Naseeruddin Shah,Farooq Shaikh
Ek Phool Char Kante,1960.0,136.0,"Comedy, Drama, Romance",6.8,46.0,Bhappi Sonie,Sunil Dutt,Waheeda Rehman,Johnny Walker
Ek Phool Do Mali,1969.0,150.0,"Drama, Family, Musical",6.6,207.0,Devendra Goel,Sanjay Khan,Balraj Sahni,Sadhana
Ek Raat,1968.0,155.0,"Action, Crime, Drama",5.8,6.0,Rajnath,Sheikh Mukhtar,Simi Garewal,Ravi Kumar
Ek Raaz,1963.0,132.0,Comedy,6.8,30.0,Shakti Samanta,Kishore Kumar,Jamuna,Pran
Ek Saal,1957.0,134.0,"Drama, Family, Romance",7.3,37.0,Devendra Goel,Ashok Kumar,Madhubala,Johnny Walker
Ek Sainik - The Tale of a warrior,2020.0,45.0,"Action, Drama",8.2,17.0,Pratyush Sharma,Pratyush Sharma,Shivani Pathak,Priyom Gautam
Ek Sapera Ek Lutera,1965.0,125.0,"Action, Comedy, Musical",4.9,22.0,Naresh Kumar,Feroz Khan,Kumkum,Sunder
Ek Se Badhkar Ek,1976.0,158.0,"Action, Comedy, Crime",7.0,44.0,Brij,Ashok Kumar,Raaj Kumar,Sharmila Tagore
Ek Se Badhkar Ek,2004.0,146.0,"Comedy, Thriller",4.4,155.0,Kundan Shah,Sunil Shetty,Raveena Tandon,Shekhar Suman
Ek Se Bure Do,2009.0,180.0,"Action, Comedy, Crime",4.3,62.0,Tariq Khan,Anita,Lankesh Bhardwaj,Snehal Dabi
Ek Shriman Ek Shrimati,1969.0,140.0,"Drama, Romance",6.6,47.0,Bhappi Sonie,Shashi Kapoor,Babita Kapoor,Rajendranath Malhotra
Ek Sthree,2000.0,115.0,Drama,5.7,15.0,Anil,Suman Ranganath,Kashish,Vivek Anand
Ek tha Bhujang,2015.0,73.0,Drama,6.9,8.0,Mohinder Pratap Singh,Yashit Duggal,Siddant Gupta,Pritma Manohar
Ek Tha Hero,2018.0,120.0,"Drama, Family",4.0,5.0,Yogesh Pagare,Asrani,Ashwini Kalsekar,Ayush Mahesh Khedekar
Ek Tha Raja,1996.0,150.0,"Action, Thriller",3.9,115.0,Dayal Nihalani,Aditya Pancholi,Sunil Shetty,Saif Ali Khan
Ek Thi Larki,1949.0,164.0,Drama,6.9,18.0,Roop K. Shorey,Meena Shorey,Motilal,Kuldip Kaur
Ek Tho Chance,2009.0,120.0,Drama,4.4,15.0,Saeed Akhtar Mirza,Amrita Arora,Ali Fazal,Uttam Halder
Ek Vivaah... Aisa Bhi,2008.0,132.0,"Drama, Romance",5.2,448.0,Kaushik Ghatak,Isha Koppikar,Sonu Sood,Anand Abhyankar
Ek: The Power of One,2009.0,140.0,"Action, Drama, Thriller",4.7,327.0,Sangeeth Sivan,Bobby Deol,Shriya Saran,Kulbhushan Kharbanda
Ek-Hi-Rasta,1956.0,151.0,Drama,6.9,52.0,B.R. Chopra,Ashok Kumar,Meena Kumari,Sunil Dutt
Ekkees Tareekh Shubh Muhurat,2018.0,97.0,Drama,5.7,394.0,Pavan Kumar,Sanjay Mishra,Mahesh Sharma,Kajal Jain
Ekkees Toppon Ki Salaami,2014.0,140.0,Comedy,6.0,502.0,Ravindra Gautam,Anupam Kher,Neha Dhupia,Divyendu Sharma
Ekram,2019.0,94.0,Drama,5.8,21.0,Saheem Khan,Saheem Khan,Kunal Sharma,Vandana Chopra
Ekta,2019.0,99.0,"Horror, Mystery, Thriller",8.0,36.0,G. Suman Reddy,Salil Ankola,Navneet Kaur Dhillon,Avneet Kaur
Elaan,1994.0,146.0,"Action, Crime, Thriller",5.3,854.0,Guddu Dhanoa,Akshay Kumar,Amrish Puri,Madhoo
Elaan,1971.0,144.0,"Action, Drama, Musical",6.0,49.0,K. Ramanlal,Vinod Mehra,Rekha,Vinod Khanna
Elaan,2005.0,159.0,"Action, Thriller",4.4,698.0,Vikram Bhatt,Arjun Rampal,Ameesha Patel,John Abraham
Elan,1947.0,133.0,Drama,6.2,12.0,Mehboob Khan,Surendra,Munawwar Sultana,Mohammad Afzal
EMI: Liya Hai To Chukana Padega,2008.0,180.0,"Comedy, Crime, Drama",4.2,582.0,Saurabh Kabra,Sanjay Khanna,Sanjay Dutt,Urmila Matondkar
Enakkul Oruvan,1984.0,149.0,"Action, Drama",6.5,126.0,S.P. Muthuraman,Kamal Haasan,Shobana,Sathyaraj
Encounter Dayanayak,2005.0,145.0,"Action, Crime, Drama",5.7,40.0,D. Rajendra Babu,Bhaskarabatla Usha,Kaushal,Shekar Kotyan
Encounter: The Killing,2002.0,150.0,"Crime, Drama",6.1,147.0,Ajay Phansekar,Naseeruddin Shah,Dilip Prabhavalkar,Tara Deshpande
English ki taay taay fisss,2020.0,137.0,"Comedy, Romance",6.1,11.0,Shailendra Singh Rajput,Aishwarya Rajesh Ash,Manoj Joshi,Leysan Karimova
Escape from Taliban,2003.0,133.0,"Adventure, Drama, Thriller",4.3,164.0,Ujjwal Chatterjee,Manisha Koirala,Nawab Shah,Vineeta Malik
Evadithe Nakenti,2007.0,170.0,"Action, Crime, Drama",6.2,58.0,Jeevitha,Rajasekhar,Samudra V.,Rajasekhar
Evening Shadows,2018.0,102.0,Drama,7.1,472.0,Sridhar Rangayan,Mona Ambegaonkar,Ananth Narayan Mahadevan,Devansh Doshi
Everybody Says I'm Fine!,2001.0,103.0,"Drama, Fantasy, Romance",5.9,323.0,Rahul Bose,Rehaan Engineer,Koel Purie,Rahul Bose
Extraordinaari,2015.0,144.0,"Drama, Family, Fantasy",3.4,9.0,Sunanda Shyamal Mitra,Rituparna Sengupta,Abhishek Gupta,Satyajit Sharma
Faasle,1985.0,146.0,"Drama, Romance",4.5,64.0,Yash Chopra,Sunil Dutt,Rekha,Rohan Kapoor
Facebook Wala Pyar,2019.0,114.0,"Drama, Romance",5.3,27.0,Narayan k Sahu,Rahul Bagga,Akhilendra Mishra,Neeta Mohindra
Faith Connections,2013.0,115.0,"Documentary, Biography, Drama",7.3,158.0,Pan Nalin,Bhole Baba,Hatha Yogi Baba,Pant Shirt Baba
Fakira,1976.0,139.0,"Action, Drama, Thriller",6.5,96.0,C.P. Dixit,Shashi Kapoor,Shabana Azmi,Asrani
Falak (The Sky),1988.0,166.0,"Action, Crime, Drama",6.0,45.0,Shashilal K. Nair,Rakhee Gulzar,Jackie Shroff,Shekhar Kapur
Falsafa,2019.0,135.0,"Action, Drama, Thriller",7.1,16.0,Himanshu Yadav,Manit Joura,Geetanjali Singh,Ridhima Grover
Family of Thakurganj,2019.0,127.0,"Action, Drama",8.4,427.0,Manoj K. Jha,Prince Singh,Jimmy Sheirgill,Mahie Gill
Famous Pandey,2017.0,104.0,Drama,4.9,8.0,Ekant Babani,Rahul Bagga,Dharmendra Singh,Meher Vij
Faraar,1975.0,136.0,"Action, Crime, Drama",6.9,314.0,Shankar Mukherjee,Sanjeev Kumar,Sharmila Tagore,Amitabh Bachchan
Faraar,1965.0,137.0,"Mystery, Thriller",6.1,8.0,Pinaki Bhushan Mukherji,Anil Chatterjee,Balraj Sahni,Shabnam
Faraib,1983.0,131.0,"Action, Thriller",4.5,14.0,Rajat Rakshit,Mithun Chakraborty,Ranjeeta Kaur,Shreeram Lagoo
Fareb,1996.0,147.0,"Action, Crime, Drama",4.7,128.0,Vikram Bhatt,Faraaz Khan,Suman Ranganath,Ashok Lath
Fareb,2005.0,129.0,"Drama, Thriller",4.1,174.0,Deepak Tijori,Shilpa Shetty Kundra,Manoj Bajpayee,Shamita Shetty
Farishta Ya Qatil,1977.0,126.0,"Action, Drama",5.1,14.0,S.M. Abbas,Shashi Kapoor,Rekha,Jayshree T.
Farz,1967.0,170.0,"Action, Crime, Thriller",6.2,100.0,Ravikant Nagaich,Jeetendra,Babita Kapoor,Aruna Irani
Farz Ki Jung,1989.0,139.0,Drama,4.3,37.0,R.P. Swamy,Shashi Kapoor,Govinda,Neelam Kothari
Fashion,1957.0,148.0,"Drama, Family",8.0,9.0,Lekhraj Bhakri,Pradeep Kumar,Manoj Kumar,Mala Sinha
Fast Forward,2009.0,57.0,"Action, Drama, Musical",5.6,46.0,Zaigham Ali Syed,Vinod Khanna,Akshay Kapoor,Rehan Khan
Fastey Fasaatey,2019.0,119.0,"Drama, Romance",4.6,119.0,Amit Agarwal,Bijay Anand,Ashok Awasthi,V.M. Badola
Fate,1933.0,68.0,"Drama, Romance",6.2,12.0,John Hunt,Devika Rani,Himanshu Rai,Abraham Sofaer
Fate,1943.0,113.0,Drama,6.6,14.0,Mehboob Khan,Motilal,Nargis,Chandra Mohan
Fatso!,2012.0,98.0,"Comedy, Fantasy, Romance",5.7,432.0,Rajat Kapoor,Gul Panag,Purab Kohli,Ranvir Shorey
Fauji Calling,2021.0,134.0,Drama,5.4,77.0,Aaryaan Saxena,Bidita Bag,Anil Chouhan,Mugdha Godse
Faulad,1963.0,145.0,"Action, Adventure, Drama",6.2,19.0,Mohammed Hussain,Dara Singh,Mumtaz,Minoo Mumtaz
Fearless: The Hunterwali Story,1994.0,62.0,Documentary,7.6,7.0,Riyad Vinci Wadia,Fearless Nadia,,
Feast of Varanasi,2016.0,97.0,"Crime, Drama, Thriller",5.5,27.0,Rajan Kumar Patel,Adil Hussain,Holly Gilbert,Tannishtha Chatterjee
'Ferry',1954.0,128.0,"Drama, Family",5.8,28.0,Hemen Gupta,Dev Anand,Archana,Babu
Fever,2016.0,123.0,"Crime, Mystery",4.7,645.0,Rajeev Jhaveri,Rajeev Khandelwal,Gauahar Khan,Gemma Atkinson
Fiffty Fiffty,1981.0,136.0,"Action, Comedy, Musical",6.1,41.0,Shomu Mukherjee,Rajesh Khanna,Tina Ambani,Om Shivpuri
Filhaal...,2002.0,151.0,"Drama, Romance",5.5,243.0,Meghna Gulzar,Tabu,Sushmita Sen,Sanjay Suri
Film Hi Film,1983.0,133.0,"Comedy, Drama, Music",5.8,23.0,Hiren Nag,Pran,Ramesh Deo,Seema Deo
Film Star,2005.0,145.0,Drama,5.1,62.0,Tanuja Chandra,Mahima Chaudhry,Priyanshu Chatterjee,Vasundhara Das
Filter Coffee Liquor Cha,2019.0,80.0,Drama,6.9,9.0,Debarati Gupta,Nishan Nanaiah,Priyanka Sarkar,Usha Uthup
Final Solution,2004.0,218.0,Documentary,8.5,369.0,Rakesh Sharma,,,
Fire in the Blood,2013.0,87.0,"Documentary, History",7.7,685.0,Dylan Mohan Gray,Zackie Achmat,Peter Mugyenyi,Bill Clinton
Fire in the Mountains,2021.0,84.0,Drama,6.8,26.0,Ajitpal Singh,Vinamrata Rai,Chandan Bisht,Harshita Tiwari
Fired,2010.0,87.0,Horror,4.4,261.0,Sajit Warrier,Rahul Bose,Dinesh Lamba,Nassar Abdulla
Fireflies,2013.0,100.0,"Drama, Family",6.2,95.0,Sabal Singh Shekhawat,Rahul Khanna,Arjun Mathur,Shivaani Ghai
Fireflies in the Abyss,2015.0,88.0,"Documentary, Drama",7.0,71.0,Chandrasekhar Reddy,Nishant Rai,Raj Rai,Suraj Subba
First Love Letter,1991.0,165.0,Romance,4.8,47.0,Shiva,Vivek Mushran,Manisha Koirala,Dalip Tahil
Flame: An Untold Love Story,2014.0,97.0,Drama,6.0,11.0,Rajiv S. Ruia,Sumana Mukherjee,Hrishitaa Bhatt,Kamna Singh Chandel
Flat 211,2017.0,105.0,"Crime, Mystery, Thriller",5.1,83.0,Sunil Sanjan,Jayesh Raj,Sonal Singh,Samonica Shrivastava
Flight,2021.0,116.0,"Action, Thriller",8.3,359.0,Suraj Joshi,Vishal Arya,Babita Ashiwal,Shibani Bedi
Flying Colors,2016.0,84.0,Drama,6.0,13.0,Raja Krishna,Bhavna Mali,Eknath Kamble,Pawan
Flying Lessons,2007.0,106.0,Drama,6.3,365.0,Francesca Archibugi,Giovanna Mezzogiorno,Andrea Miglio Risi,Angel Tom Karumathy
Flying on One Engine,2008.0,51.0,"Documentary, Drama",7.9,25.0,Joshua Z Weinstein,Sharadkumar Dicksheet,,
Foot Path,1953.0,148.0,"Comedy, Crime, Drama",7.5,57.0,Zia Sarhadi,Dilip Kumar,Meena Kumari,Ramesh Thapar
Footfairy,2020.0,115.0,"Crime, Thriller",5.0,287.0,Kanishk Varma,Gulshan Devaiah,Sagarika Ghatge,Kunaal Roy Kapur
Footpath,2003.0,164.0,"Action, Crime, Drama",5.3,824.0,Vikram Bhatt,Aftab Shivdasani,Bipasha Basu,Rahul Dev
Foresting Life,2013.0,69.0,"Documentary, Biography, Family",9.0,6.0,Aarti Shrivastava,,,
Foto,2007.0,86.0,Comedy,6.4,23.0,Virendra Saini,Tom Alter,Sameer Gupta,Arjun Gokul Jaykrishna
Four Faces of India,1959.0,160.0,Drama,7.5,57.0,Khwaja Ahmad Abbas,Raj Kapoor,Ajit,Shammi Kapoor
Four Pillars of Basement,2015.0,134.0,"Action, Mystery, Thriller",4.6,19.0,Giresh Naik,Shawar Ali,Ravi Gadariya,Zakir Husain
Four Two Ka One,2012.0,112.0,Comedy,4.7,52.0,Anwer Khan,Ishwar Singh,Jimmy Sheirgill,Rajpal Yadav
Fox,2009.0,145.0,"Crime, Drama, Mystery",5.2,553.0,Deepak Tijori,Arjun Rampal,Sunny Deol,Udita Goswami
Fraud Saiyaan,2019.0,109.0,"Comedy, Drama",4.3,677.0,Sourabh Shrivastava,Arshad Warsi,Saurabh Shukla,Flora Saini
Fredrick,2016.0,129.0,"Action, Thriller",4.9,19.0,Rajesh Butalia,Avinash Dhyani,Prashant Narayanan,Tulna Butalia
Friends In Law,2018.0,85.0,Comedy,6.8,48.0,Amit Khanna,Shreedevi Chowdary,Ashlin Harris,Amiran Winter
Friendship,1980.0,152.0,"Action, Crime, Drama",6.6,927.0,Raj Khosla,Amitabh Bachchan,Shatrughan Sinha,Zeenat Aman
Frozen,2007.0,109.0,Drama,7.1,191.0,Shivajee Chandrabhushan,Danny Denzongpa,Gauri,Aungchuk
Fruit & Nut,2009.0,90.0,"Comedy, Crime, Drama",2.8,71.0,Kunal Vijaykar,Cyrus Broacha,Boman Irani,Mahesh Manjrekar
FryDay,2018.0,114.0,"Comedy, Drama",5.2,783.0,Abhishek Dogra,Govinda,Digangana Suryavanshi,Varun Sharma
Fuddu,2016.0,100.0,"Comedy, Drama",5.4,155.0,Sunil Subramani,Shubham,Swati Kapoor,Uday Tikekar
Fukrey Boyzzz: Space Mein Fukrapanti,2020.0,74.0,"Animation, Comedy, Family",8.3,6.0,Avinash Walzade,Manish Bhavan,Amit Deondi,Ketan Kava
Full Moon,1960.0,169.0,"Drama, Musical, Romance",7.2,476.0,M. Sadiq,Waheeda Rehman,Guru Dutt,Rehman
Fun: Can Be Dangerous Sometimes,2005.0,138.0,Thriller,3.1,72.0,Sanjay Zaveri,Siddharth Koirala,Aryan Vaid,Payal Rohatgi
Future to Bright Hai Ji,2012.0,180.0,Drama,6.2,97.0,Sanjay Amar,Aamir Bashir,Sonal Sehgal,Asrani
G Kutta Se,2017.0,104.0,Drama,8.3,47.0,Rahul Dahiya,Rajveer Ankur Singh,Neha Chauhan,Vibha Tyagi
Gaai Aur Gori,1973.0,148.0,"Drama, Family",6.0,17.0,M.A. Thirumugham,Shatrughan Sinha,Jaya Bachchan,Bindu
Gaban,1966.0,169.0,"Crime, Drama, Romance",5.8,50.0,Krishan Chopra,Hrishikesh Mukherjee,Sunil Dutt,Sadhana
Gabbar Singh,2007.0,111.0,Action,4.8,9.0,Kanti Shah,Amit Pachori,Shiva Rindani,Sapna Sappu
Gaddaar,1995.0,152.0,"Action, Drama, Romance",4.6,96.0,Raam Shetty,Sunil Shetty,Harish,Sonali Bendre
Gafla,2006.0,127.0,Drama,7.2,454.0,Sameer Hanchate,Somesh Agarwal,Anshul Chobey,Nishikant Dixit
Gair,1999.0,148.0,"Action, Drama",3.7,195.0,Ashok Gaekwad,Ajay Devgn,Raveena Tandon,Reena Roy
Gair Kaanooni,1989.0,152.0,"Action, Comedy, Drama",5.3,90.0,Prayag Raj,Sridevi,Govinda,Kimi Katkar
Gaja Gamini,2000.0,122.0,"Drama, Fantasy",5.0,726.0,M.F. Hussain,Madhuri Dixit,Shabana Azmi,Naseeruddin Shah
Gajendra,2004.0,145.0,Action,3.5,77.0,Suresh Krishna,Sarath Babu,Rajat Bedi,Flora
Gali Gali Chor Hai,2012.0,109.0,"Comedy, Drama, Family",5.1,596.0,Rumi Jaffery,Akshaye Khanna,Mugdha Godse,Satish Kaushik
"Gallit Gondhal, Dillit Mujra",2009.0,120.0,Comedy,7.3,106.0,Nagesh Bhonsle,Makarand Anaspure,Suzanne Bernert,Nagesh Bhonsle
Gaman,1978.0,119.0,Drama,7.1,181.0,Muzaffar Ali,Farooq Shaikh,Smita Patil,Gita Siddharth
Gambeeram,2004.0,165.0,"Action, Comedy, Crime",4.5,62.0,Suresh,Tanikella Bharani,Brahmanandam,Jasper
Gambler,1971.0,154.0,"Crime, Romance, Thriller",6.5,149.0,Amarjeet,Dev Anand,Zaheeda,Kishore Sahu
Gambler,1995.0,169.0,"Action, Comedy, Crime",5.0,356.0,Dayal Nihalani,Govinda,Shilpa Shetty Kundra,Aditya Pancholi
Game,1993.0,131.0,"Action, Crime, Drama",5.1,53.0,Anil Mattoo,Naseeruddin Shah,Aditya Pancholi,Rahul Roy
Game,2007.0,146.0,"Action, Crime, Drama",5.3,25.0,Shivram Yadav,Sherlyn Chopra,Sameer Dharmadhikari,Prashant Narayanan
Game of Ayodhya,2017.0,148.0,"Documentary, Drama",6.5,8.0,Sunil Singh,Arun Bakshi,Abhay Bhargava,Makrand Deshpande
Game Over,2017.0,140.0,Thriller,7.1,89.0,Paresh Vinodray Savani,Rima Mishra,Rajesh Sharma,Yashpal Sharma
Game Paisa Ladki,2018.0,107.0,Drama,5.8,8.0,Sachin Agarwal,Ishteyak Arif,Deepans Garge,Ashraf Ul Haq
Gandhi to Hitler,2011.0,108.0,"Drama, History, War",2.5,207.0,Rakesh Ranjan Kumar,Avijit Dutt,Raghuvir Yadav,Neha Dhupia
Gandhigiri,2016.0,128.0,Drama,4.6,56.0,Sanoj Mishra,Sanoj R. Mishra,Sanjay Mishra,Rishi Bhutani
Gandhiji My Mentor,2016.0,97.0,"Drama, History",7.6,29.0,Nilay Dave,Anil Pandey,Deepak Antani,Nilay Dave
Gandhinagar 2nd Street,1986.0,137.0,"Comedy, Family, Romance",7.6,741.0,Sathyan Anthikad,Mohanlal,Karthika,Sreenivasan
Gandhi's Children,2008.0,185.0,"Documentary, Drama",8.0,6.0,David MacDougall,,,
Gang,2000.0,152.0,"Action, Crime, Drama",6.1,225.0,Mazhar Khan,Jackie Shroff,Nana Patekar,Kumar Gaurav
Gang of Ghosts,2014.0,128.0,"Comedy, Horror",3.6,376.0,Satish Kaushik,Sharman Joshi,Mahie Gill,Asrani
Gang of Littles,2016.0,112.0,Drama,5.2,6.0,Vijay Kumar Mishra,Abhishek,Shehzad Khan,Viju Khote
Ganga,2006.0,102.0,"Action, Drama, Music",4.7,65.0,Abhishek Chhadha,Amitabh Bachchan,Hema Malini,Nagma
Ganga Aur Suraj,1980.0,157.0,Drama,6.4,17.0,A. Salaam,Sunil Dutt,Shashi Kapoor,Reena Roy
Ganga Ki Saugand,1978.0,142.0,"Action, Drama",5.4,146.0,Sultan Ahmed,Amitabh Bachchan,Rekha,Amjad Khan
Ganga Meri Maa,1983.0,145.0,Drama,5.7,7.0,Shyam Ralhan,Vikas Anand,Birbal,Danny Denzongpa
Gangaa Jamunaa Saraswathi,1988.0,187.0,"Action, Drama, Romance",4.6,581.0,Manmohan Desai,Amitabh Bachchan,Mithun Chakraborty,Jaya Prada
Gangavataran,1937.0,134.0,,6.7,11.0,Madhukar Bavdekar,Dhundiraj Govind Phalke,Chitnis,Suresh Pardesi
Gangoobai,2013.0,110.0,"Drama, Family",7.3,296.0,Priya Krishnaswamy,Sarita Joshi,Purab Kohli,Mita Vashisht
Gangvaa,1984.0,126.0,"Action, Drama",5.3,26.0,Rajasekhar,Rajinikanth,Shabana Azmi,Sarika
Gaon,2018.0,124.0,Drama,5.3,106.0,Gautam Singh,Shadab Kamal,Neha Mahajan,Dibyendu Bhattacharya
Gaon Hamara Shaher Tumhara,1972.0,127.0,"Drama, Family, Romance",6.8,30.0,Naresh Kumar,Rajendra Kumar,Rekha,Sujit Kumar
Garam,2005.0,102.0,Drama,4.5,30.0,Kanti Shah,Sapna Sappu,Imran,Tanveer
Garam Coat,1955.0,129.0,Drama,7.3,15.0,Amar Kumar,Nirupa Roy,Jayant,Rashid Khan
Garam Dukaan,2004.0,142.0,Thriller,6.0,12.0,Chandni Gupta,Afsan,Shah Gayaz Khan,
Garam Masala,1972.0,129.0,"Comedy, Musical, Action",5.8,68.0,Aspi Irani,Aruna Irani,Mehmood,Jeevan
Garbage,2018.0,105.0,"Drama, Thriller",3.4,950.0,Qaushiq Mukherjee,Tanmay Dhanania,Trimala Adhikari,Satarupa Das
Gardish,1993.0,153.0,"Action, Crime, Drama",7.4,807.0,Priyadarshan,Jackie Shroff,Amrish Puri,Dimple Kapadia
Garm Hava,1974.0,146.0,Drama,8.1,689.0,M.S. Sathyu,Balraj Sahni,A.K. Hangal,Gita Siddharth
Gattu,2011.0,90.0,Drama,7.3,398.0,Rajan Khosa,Naresh Sharma,Mohammad Samad,Jayanta Das
Gauraiya,2014.0,125.0,Crime,7.0,64.0,Rajesh Hans,Karamaveer Chaudhary,Karamveer Choudhary,Vijay Jora
Gaurav Gupta: Market Down Hai,2021.0,50.0,Comedy,7.5,226.0,Neville Shah,Gaurav Gupta,,
Gauri,1968.0,152.0,"Drama, Family",6.5,40.0,A. Bhimsingh,Sunil Dutt,Nutan,Sanjeev Kumar
Gauri: The Unborn,2007.0,98.0,"Drama, Horror, Thriller",3.5,109.0,Aku Akbar,Mohan Azaad,Anupam Kher,Atul Kulkarni
Gauru: Journey of Courage,2016.0,124.0,Family,8.8,85.0,Ramkishan Choyal,Jahangir Khan,Vedshree Rao,Ila Arun
Gautam Govinda,1979.0,131.0,"Action, Crime, Drama",6.0,58.0,Subhash Ghai,Shashi Kapoor,Shatrughan Sinha,Moushumi Chatterjee
Gautam Govinda,2002.0,119.0,Action,2.7,11.0,Gautam Verma,Ishrat Ali,Mithun Chakraborty,Pinky Chinoy
Gawaahi,1989.0,111.0,Mystery,5.6,36.0,Anant Balani,Zeenat Aman,Vikram Gokhale,Ashutosh Gowariker
Gayab,2004.0,138.0,"Drama, Fantasy, Thriller",4.2,781.0,Prawaal Raman,Tusshar Kapoor,Antara Mali,Raghuvir Yadav
Geet,1992.0,151.0,Drama,5.9,56.0,Partho Ghosh,Avinash Wadhawan,Divya Bharti,Laxmikant Berde
Geet Gaata Chal,1975.0,130.0,"Comedy, Drama, Family",6.9,108.0,Hiren Nag,Sachin Pilgaonkar,Sarika,Urmila Bhatt
Geetanjali,1993.0,150.0,Drama,6.0,45.0,Shakti Samanta,Jeetendra,Rekha,Vijay Arora
Gehrayee,1980.0,135.0,"Drama, Horror",6.8,148.0,Vikas Desai,Aruna Raje,Shreeram Lagoo,Anant Nag
Gehri Chaal,1973.0,147.0,"Action, Crime, Thriller",5.4,127.0,C.V. Sridhar,Jeetendra,Hema Malini,Amitabh Bachchan
Gemini,2002.0,150.0,"Action, Comedy, Crime",6.1,910.0,Saran,Vikram,Kiran Rathod,Kalabhavan Mani
Genesis,1986.0,105.0,Drama,6.7,113.0,Mrinal Sen,Shabana Azmi,Naseeruddin Shah,Om Puri
Gentleman,1989.0,139.0,"Comedy, Crime, Musical",4.9,42.0,Vinod K. Verma,Govinda,Anuradha Patel,Shakti Kapoor
Geraftaar,1985.0,167.0,"Action, Drama",6.1,435.0,Prayag Raj,Kamal Haasan,Poonam Dhillon,Madhavi
Ghar,1978.0,121.0,"Drama, Romance",7.0,192.0,Manik Chatterjee,Gulzar,Vinod Mehra,Rekha
Ghar Basake Dekho,1963.0,139.0,"Comedy, Drama",5.8,16.0,Kishore Sahu,Manoj Kumar,Sudesh Kumar,Randhir
Ghar Bazar,1998.0,130.0,"Action, Crime, Drama",4.4,10.0,D.S. Azad,Shekhar Suman,Natasha Shailendra,Sharmila Tagore
Ghar Dwaar,1985.0,153.0,Drama,7.1,42.0,Kalpataru,Tanuja,Sachin Pilgaonkar,Raj Kiran
Ghar Ek Mandir,1984.0,156.0,Drama,5.5,75.0,K. Bapaiah,Shashi Kapoor,Moushumi Chatterjee,Mithun Chakraborty
Ghar Ghar Ki Kahani,1988.0,155.0,"Comedy, Drama",4.9,207.0,Kalpataru,Govinda,Farha Naaz,Rishi Kapoor
